PV,CA,PV/CA,CA/PV,PV_percent,CA_percent,Diff,Diff_percent
0.330679906,0.402156257,0.822267216,1.216149665,0.451233062,0.548766938,0.071476351,0.097533875
0.47797789,0.469911985,1.017164714,0.983124941,0.504254664,0.495745336,-0.008065905,-0.008509327
0.583991469,0.502740209,1.161616792,0.860869098,0.537383313,0.462616687,-0.08125126,-0.074766625
0.503616036,0.505577939,0.996119485,1.003895633,0.499027985,0.500972015,0.001961903,0.00194403
0.629411424,0.475998661,1.322296627,0.756259964,0.569391787,0.430608213,-0.153412763,-0.138783575
0.600923583,0.513526095,1.170190938,0.854561394,0.539211052,0.460788948,-0.087397488,-0.078422104
0.5790951,0.456829127,1.267640494,0.788867195,0.55901299,0.44098701,-0.122265973,-0.118025981
0.533451799,0.368621448,1.447153447,0.691011725,0.591361955,0.408638045,-0.164830351,-0.18272391
0.395849392,0.405129109,0.977094421,1.023442545,0.494207262,0.505792738,0.009279717,0.011585476
0.597973539,0.482556172,1.239179133,0.806985829,0.553407771,0.446592229,-0.115417367,-0.106815542
0.594555476,0.431975157,1.376364975,0.726551473,0.579189219,0.420810781,-0.162580319,-0.158378439
0.565665186,0.441280962,1.281870814,0.780109812,0.561763096,0.438236904,-0.124384224,-0.123526193
0.591672648,0.534395937,1.107180289,0.90319527,0.525432159,0.474567841,-0.057276711,-0.050864318
0.609675505,0.479845724,1.270565672,0.787051013,0.559581116,0.440418884,-0.129829781,-0.119162232
0.588822816,0.426132081,1.381784762,0.723701714,0.580146781,0.419853219,-0.162690735,-0.160293561
0.621215198,0.473237732,1.312691605,0.761793552,0.567603394,0.432396606,-0.147977466,-0.135206789
0.628357256,0.485321119,1.294724733,0.772364947,0.564217884,0.435782116,-0.143036137,-0.128435768
0.587932919,0.447243748,1.314569341,0.760705403,0.567954184,0.432045816,-0.140689171,-0.135908368
0.547474387,0.325558966,1.681644323,0.594656067,0.627094469,0.372905531,-0.221915421,-0.254188938
0.52658562,0.312269718,1.686316635,0.593008442,0.627743064,0.372256936,-0.214315902,-0.255486128
0.58561335,0.404370151,1.448211122,0.690507057,0.591538495,0.408461505,-0.181243199,-0.183076989
0.573610243,0.343065409,1.672014222,0.598081037,0.625750495,0.374249505,-0.230544834,-0.25150099
0.660286092,0.51036132,1.293762019,0.772939679,0.564034982,0.435965018,-0.149924772,-0.128069964
0.521035883,0.28805663,1.808796704,0.552853727,0.643975657,0.356024343,-0.232979253,-0.287951315
0.551378047,0.319910327,1.723539381,0.580201422,0.632830718,0.367169282,-0.23146772,-0.265661435
0.606856494,0.38909411,1.559665074,0.641163296,0.609323888,0.390676112,-0.217762384,-0.218647775
0.62233097,0.415133647,1.499109924,0.667062491,0.599857537,0.400142463,-0.207197323,-0.199715074
0.538283406,0.299800022,1.795474872,0.55695572,0.642279024,0.357720976,-0.238483384,-0.284558048
0.544341059,0.333137036,1.633985418,0.612000566,0.620347177,0.379652823,-0.211204023,-0.240694354
0.546204438,0.338162793,1.615211517,0.619113961,0.617621751,0.382378249,-0.208041645,-0.235243503
0.624673832,0.416795919,1.498752275,0.667221673,0.599800264,0.400199736,-0.207877913,-0.199600529
0.621645364,0.428311022,1.451387735,0.688995763,0.592067797,0.407932203,-0.193334342,-0.184135593
0.629739933,0.448925846,1.402770499,0.712874986,0.583813768,0.416186232,-0.180814087,-0.167627536
0.691238962,0.525224427,1.316083043,0.759830472,0.568236552,0.431763448,-0.166014535,-0.136473104
0.639573756,0.520327639,1.229175058,0.813553768,0.551403558,0.448596442,-0.119246117,-0.102807116
0.479937515,0.248763043,1.929295884,0.518323813,0.658621034,0.341378966,-0.231174472,-0.317242068
0.548059784,0.33606431,1.630818173,0.613189144,0.619890112,0.380109888,-0.211995474,-0.239780225
0.584626869,0.365929716,1.597647973,0.625920113,0.615036367,0.384963633,-0.218697153,-0.230072735
0.636825554,0.52435368,1.214496204,0.823386682,0.548430023,0.451569977,-0.112471874,-0.096860046
0.62918486,0.485866436,1.294974942,0.772215714,0.564265395,0.435734605,-0.143318424,-0.12853079
0.661799489,0.554388915,1.19374589,0.837699219,0.54415869,0.45584131,-0.107410574,-0.08831738
0.57850216,0.403908137,1.432261713,0.69819642,0.588860033,0.411139967,-0.174594023,-0.177720066
0.688396494,0.551886479,1.247351621,0.801698562,0.555031802,0.444968198,-0.136510015,-0.110063605
0.59345395,0.42625713,1.392244043,0.71826488,0.581982447,0.418017553,-0.16719682,-0.163964895
0.619707649,0.464873324,1.333067778,0.750149405,0.57137979,0.42862021,-0.154834325,-0.142759581
0.65124481,0.495032708,1.315559153,0.760133057,0.568138867,0.431861133,-0.156212102,-0.136277733
0.617345352,0.456524066,1.352273402,0.739495429,0.574879349,0.425120651,-0.160821286,-0.149758698
0.618606502,0.485275457,1.274753324,0.784465497,0.560391894,0.439608106,-0.133331045,-0.120783788
0.654785311,0.48572124,1.348068104,0.741802285,0.574117975,0.425882025,-0.169064071,-0.148235949
0.54542973,0.350545464,1.555945765,0.642695923,0.608755392,0.391244608,-0.194884266,-0.217510783
0.483579956,0.300021487,1.611817743,0.620417541,0.617124892,0.382875108,-0.183558469,-0.234249784
0.4247987,0.206288238,2.059248283,0.485614099,0.673122314,0.326877686,-0.218510462,-0.346244628
0.462641605,0.257209544,1.798695328,0.555958524,0.642690653,0.357309347,-0.205432061,-0.285381306
0.607857949,0.474461366,1.28115373,0.780546453,0.561625336,0.438374664,-0.133396583,-0.123250672
0.579012184,0.47201246,1.226688346,0.815202984,0.550902576,0.449097424,-0.106999724,-0.101805152
0.665042761,0.534960839,1.243161578,0.804400665,0.554200638,0.445799362,-0.130081922,-0.108401276
0.666678346,0.518598227,1.285539193,0.777883713,0.562466484,0.437533516,-0.148080119,-0.124932967
0.671620188,0.61191233,1.097575837,0.911098774,0.523259192,0.476740808,-0.059707858,-0.046518384
0.626170779,0.502841777,1.245264033,0.803042547,0.554618083,0.445381917,-0.123329002,-0.109236165
0.587885678,0.461387327,1.27416954,0.784824915,0.560279046,0.439720954,-0.126498351,-0.120558092
0.626929275,0.510026129,1.229210112,0.813530568,0.551410612,0.448589388,-0.116903146,-0.102821224
0.599025982,0.549223408,1.090678171,0.916860745,0.521686305,0.478313695,-0.049802574,-0.043372611
0.546058906,0.436649039,1.250567062,0.799637245,0.55566754,0.44433246,-0.109409867,-0.111335079
0.626096585,0.499426735,1.253630495,0.797683212,0.556271535,0.443728465,-0.12666985,-0.11254307
0.61756452,0.467435093,1.321177056,0.756900822,0.569184092,0.430815908,-0.150129427,-0.138368185
0.620729266,0.426263627,1.456209788,0.686714241,0.592868653,0.407131347,-0.194465639,-0.185737306
0.647192752,0.530778258,1.219327925,0.820123922,0.54941314,0.45058686,-0.116414494,-0.098826281
0.660598303,0.618326219,1.068365343,0.936009397,0.516526419,0.483473581,-0.042272084,-0.033052837
0.555321078,0.351766995,1.578661688,0.633447944,0.61220194,0.38779806,-0.203554083,-0.22440388
0.610641924,0.4180075,1.460839636,0.684537834,0.593634634,0.406365366,-0.192634424,-0.187269267
0.580965781,0.405874348,1.431393198,0.698620059,0.58871317,0.41128683,-0.175091433,-0.177426341
0.597871652,0.378687084,1.578801278,0.633391937,0.612222931,0.387777069,-0.219184568,-0.224445863
0.610457971,0.393277309,1.552232883,0.644233228,0.608186225,0.391813775,-0.217180662,-0.21637245
